Energy	Th_initial	
0.029221125	0.144742740	0.002894854800000
0.029227802	0.144726210	0.002894524200000
0.029234478	0.144709680	0.002894193600000
0.029241258	0.144692900	0.002893858000000
0.029248038	0.144676130	0.002893522600000
0.029254714	0.144659620	0.002893192400000
0.029261494	0.144642860	0.002892857200000
0.029268275	0.144626110	0.002892522200000
0.029274952	0.144609620	0.002892192400000
0.029281732	0.144592870	0.002891857400000
0.029288512	0.144576140	0.002891522800000
0.029295187	0.144559660	0.002891193200000
0.029301968	0.144542940	0.002890858800000
0.029308748	0.144526220	0.002890524400000
0.029315424	0.144509760	0.002890195200000
0.029322205	0.144493050	0.002889861000000
0.029328985	0.144476350	0.002889527000000
0.029335661	0.144459910	0.002889198200000
0.029342441	0.144443220	0.002888864400000
0.029349221	0.144426530	0.002888530600000
0.029355898	0.144410110	0.002888202200000
0.029362679	0.144393430	0.002887868600000
0.029369459	0.144376770	0.002887535400000
0.029376239	0.144360100	0.002887202000000
0.029383019	0.144343450	0.002886869000000
0.029389799	0.144326800	0.002886536000000
0.029396580	0.144310150	0.002886203000000
0.029403361	0.144293510	0.002885870200000
0.029410141	0.144276880	0.002885537600000
0.029416816	0.144260510	0.002885210200000
0.029423596	0.144243890	0.002884877800000
0.029430376	0.144227270	0.002884545400000
0.029437157	0.144210660	0.002884213200000
0.029443938	0.144194050	0.002883881000000
0.029450718	0.144177450	0.002883549000000
0.029457498	0.144160860	0.002883217200000
0.029464278	0.144144270	0.002882885400000
0.029471058	0.144127690	0.002882553800000
0.029477839	0.144111110	0.002882222200000
0.029484725	0.144094290	0.002881885800000
0.029491505	0.144077720	0.002881554400000
0.029498285	0.144061170	0.002881223400000
0.029505065	0.144044610	0.002880892200000
0.029511845	0.144028070	0.002880561400000
0.029518625	0.144011520	0.002880230400000
0.029525406	0.143994990	0.002879899800000
0.029532291	0.143978200	0.002879564000000
0.029539071	0.143961680	0.002879233600000
0.029545851	0.143945160	0.002878903200000
0.029552631	0.143928650	0.002878573000000
0.029559411	0.143912140	0.002878242800000
